ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
211996_s_at	3.62e-07	2.65e-09	21.9141322	LOC101060275///NPIPA5///NPIPB5///NPIPB11///LOC613037///NPIPB4///NPIPB3	putative NPIP-like protein LOC613037///nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B5///nuclear pore complex interacting protein family member B11///nuclear pore complex interacting protein member///nuclear pore complex interacting protein family member B4///nuclear pore complex interacting protein family member B3
203587_at	3.62e-07	2.66e-09	21.9117851	ARL4D	ADP ribosylation factor like GTPase 4D
222044_at	3.65e-07	2.69e-09	21.8955572	LOC643549///PCIF1	uncharacterized LOC643549///PDX1 C-terminal inhibiting factor 1
220540_at	3.65e-07	2.71e-09	21.8875701	KCNK15	potassium two pore domain channel subfamily K member 15
220285_at	3.71e-07	2.78e-09	21.8575593	ABHD17B	abhydrolase domain containing 17B
208467_at	3.71e-07	2.79e-09	21.850969	KLF12	Kruppel like factor 12
221039_s_at	3.73e-07	2.82e-09	21.8387625	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
205343_at	3.74e-07	2.86e-09	21.819775	SULT1C2	sulfotransferase family 1C member 2
221137_at	3.74e-07	2.86e-09	21.8196807		
206795_at	3.76e-07	2.90e-09	21.8061403	F2RL2	coagulation factor II thrombin receptor like 2
218468_s_at	3.81e-07	2.95e-09	21.7828546	GREM1	gremlin 1, DAN family BMP antagonist
208542_x_at	3.83e-07	2.98e-09	21.7705817	ZNF718///ZNF595///ZNF208	zinc finger protein 718///zinc finger protein 595///zinc finger protein 208
208448_x_at	3.83e-07	3.00e-09	21.7607567	IFNA16	interferon alpha 16
218155_x_at	3.83e-07	3.02e-09	21.7553207	TSR1	TSR1, ribosome maturation factor
221008_s_at	3.88e-07	3.08e-09	21.7317825	ETNPPL	ethanolamine-phosphate phospho-lyase
215745_at	3.93e-07	3.13e-09	21.7090506		
217522_at	3.96e-07	3.17e-09	21.6940628	KCNV2	potassium voltage-gated channel modifier subfamily V member 2
220029_at	4.01e-07	3.23e-09	21.6720625	ELOVL2	ELOVL fatty acid elongase 2
220533_at	4.01e-07	3.25e-09	21.6664658		
220978_at	4.05e-07	3.30e-09	21.6473032	KRTAP1-3	keratin associated protein 1-3
215767_at	4.11e-07	3.40e-09	21.6088447	ZNF804A	zinc finger protein 804A
219638_at	4.11e-07	3.41e-09	21.6052677	FBXO22	F-box protein 22
215306_at	4.11e-07	3.41e-09	21.6041191		
206029_at	4.11e-07	3.42e-09	21.6013903	ANKRD1	ankyrin repeat domain 1
206345_s_at	4.19e-07	3.52e-09	21.5658865	PON1	paraoxonase 1
207638_at	4.19e-07	3.53e-09	21.5648337	TMPRSS15	transmembrane protease, serine 15
221174_at	4.21e-07	3.56e-09	21.5519616		
210498_at	4.25e-07	3.62e-09	21.5340533	CLTC	clathrin heavy chain
207379_at	4.26e-07	3.65e-09	21.5235402	EDIL3	EGF like repeats and discoidin domains 3
215634_at	4.26e-07	3.66e-09	21.5194178		
219414_at	4.32e-07	3.73e-09	21.4946347	CLSTN2	calsyntenin 2
217558_at	4.45e-07	3.88e-09	21.4489167	CYP2C9	cytochrome P450 family 2 subfamily C member 9
208088_s_at	4.45e-07	3.93e-09	21.4307956	CFHR5	complement factor H related 5
214641_at	4.45e-07	3.94e-09	21.4286974	COL4A3	collagen type IV alpha 3 chain
217721_at	4.45e-07	3.95e-09	21.4263484	SEPT7	septin 7
205579_at	4.45e-07	3.95e-09	21.4262741	HRH1	histamine receptor H1
216260_at	4.46e-07	3.97e-09	21.4191476	DICER1	dicer 1, ribonuclease III
210497_x_at	4.52e-07	4.06e-09	21.3923743	SSX2B///SSX2	SSX family member 2B///SSX family member 2
217253_at	4.52e-07	4.09e-09	21.3838881	SH3BP2	SH3 domain binding protein 2
206481_s_at	4.52e-07	4.09e-09	21.3827239	LDB2	LIM domain binding 2
211440_x_at	4.52e-07	4.11e-09	21.3781022	CYP3A43	cytochrome P450 family 3 subfamily A member 43
202236_s_at	4.60e-07	4.21e-09	21.3488582	SLC16A1	solute carrier family 16 member 1
216161_at	4.60e-07	4.23e-09	21.3431887	SBNO1	strawberry notch homolog 1
206549_at	4.67e-07	4.31e-09	21.319994	INSL4	insulin like 4
220883_at	4.67e-07	4.33e-09	21.3139713	PRO2012	uncharacterized protein PRO2012
219678_x_at	4.72e-07	4.39e-09	21.2958315	DCLRE1C	DNA cross-link repair 1C
207823_s_at	4.75e-07	4.45e-09	21.2809271	AIF1	allograft inflammatory factor 1
214874_at	4.75e-07	4.47e-09	21.2761902	PKP4	plakophilin 4
34697_at	4.83e-07	4.56e-09	21.2496338	LRP6	LDL receptor related protein 6
217494_s_at	4.84e-07	4.60e-09	21.2405449	PTENP1	phosphatase and tensin homolog pseudogene 1
219667_s_at	4.87e-07	4.64e-09	21.2286242	BANK1	B-cell scaffold protein with ankyrin repeats 1
214826_at	4.91e-07	4.71e-09	21.2117903	PDE12	phosphodiesterase 12
221197_s_at	5.03e-07	4.84e-09	21.1772589	CHAT	choline O-acetyltransferase
210442_at	5.03e-07	4.89e-09	21.1666382	IL1RL1	interleukin 1 receptor like 1
216277_at	5.03e-07	4.90e-09	21.1619638	BUB1	BUB1 mitotic checkpoint serine/threonine kinase
216672_s_at	5.03e-07	4.92e-09	21.158924	MYT1L	myelin transcription factor 1 like
219943_s_at	5.08e-07	4.99e-09	21.1409084	USP46	ubiquitin specific peptidase 46
207045_at	5.25e-07	5.17e-09	21.0966089	VPS50	VPS50, EARP/GARPII complex subunit
220574_at	5.42e-07	5.38e-09	21.0494838	SEMA6D	semaphorin 6D
202662_s_at	5.42e-07	5.39e-09	21.0466278	ITPR2	inositol 1,4,5-trisphosphate receptor type 2
219797_at	5.45e-07	5.44e-09	21.0345829	MGAT4A	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A
205729_at	5.65e-07	5.67e-09	20.9840736	OSMR	oncostatin M receptor
206934_at	5.75e-07	5.79e-09	20.9586126	SIRPB1	signal regulatory protein beta 1
208098_at	5.77e-07	5.84e-09	20.9491144	OR12D3///OR5V1	olfactory receptor family 12 subfamily D member 3///olfactory receptor family 5 subfamily V member 1
214102_at	5.78e-07	5.88e-09	20.9415889		
206579_at	5.84e-07	6.02e-09	20.9114704	ZKSCAN8	zinc finger with KRAB and SCAN domains 8
216871_at	5.84e-07	6.04e-09	20.9086506	ZDHHC17	zinc finger DHHC-type containing 17
210665_at	5.84e-07	6.04e-09	20.9075834	TFPI	tissue factor pathway inhibitor
205416_s_at	5.84e-07	6.05e-09	20.9064158	ATXN3	ataxin 3
214656_x_at	5.86e-07	6.10e-09	20.8955635	MYO1C	myosin IC
207608_x_at	5.86e-07	6.12e-09	20.8925478	CYP1A2	cytochrome P450 family 1 subfamily A member 2
203716_s_at	6.05e-07	6.34e-09	20.8488756	DPP4	dipeptidyl peptidase 4
220431_at	6.09e-07	6.42e-09	20.8341404	TMPRSS11E	transmembrane protease, serine 11E
204668_at	6.10e-07	6.47e-09	20.8248507	RNF24	ring finger protein 24
204932_at	6.10e-07	6.48e-09	20.8222147	TNFRSF11B	TNF receptor superfamily member 11b
206507_at	6.11e-07	6.51e-09	20.8164006	ZSCAN12	zinc finger and SCAN domain containing 12
217375_at	6.12e-07	6.55e-09	20.8091787		
204751_x_at	6.23e-07	6.70e-09	20.78163	DSC2	desmocollin 2
202042_at	6.25e-07	6.75e-09	20.7729492	LOC101928623///HARS	uncharacterized LOC101928623///histidyl-tRNA synthetase
215067_x_at	6.27e-07	6.80e-09	20.7642163	PRDX2	peroxiredoxin 2
210067_at	6.45e-07	7.03e-09	20.7236262	AQP4	aquaporin 4
219772_s_at	6.64e-07	7.27e-09	20.6833525	SMPX	small muscle protein, X-linked
220738_s_at	6.64e-07	7.32e-09	20.6746297	RPS6KA6	ribosomal protein S6 kinase A6
215918_s_at	6.64e-07	7.32e-09	20.6742749	SPTBN1	spectrin beta, non-erythrocytic 1
218666_s_at	6.72e-07	7.44e-09	20.6541326	STX17	syntaxin 17
216302_at	6.79e-07	7.55e-09	20.6371892	HNRNPCL4///HNRNPCL3///HNRNPCL2///HNRNPCL1	heterogeneous nuclear ribonucleoprotein C-like 4///heterogeneous nuclear ribonucleoprotein C-like 3///heterogeneous nuclear ribonucleoprotein C-like 2///heterogeneous nuclear ribonucleoprotein C-like 1
220841_s_at	6.79e-07	7.57e-09	20.633006	AHI1	Abelson helper integration site 1
222339_x_at	6.79e-07	7.61e-09	20.6267474		
209938_at	6.88e-07	7.74e-09	20.6071879	TADA2A	transcriptional adaptor 2A
209599_s_at	6.94e-07	7.84e-09	20.5911294	PRUNE1	prune exopolyphosphatase
217692_at	6.96e-07	7.90e-09	20.5823789	MAGOH2P	mago homolog 2, pseudogene
214736_s_at	7.04e-07	8.02e-09	20.5635695	ADD1	adducin 1
211221_at	7.15e-07	8.17e-09	20.5410382	TADA3	transcriptional adaptor 3
211055_s_at	7.22e-07	8.29e-09	20.5230817	INVS	inversin
216735_x_at	7.22e-07	8.32e-09	20.5184482		
216085_at	7.27e-07	8.44e-09	20.5025118	OBSCN///DKFZP434C153	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF///DKFZP434C153 protein
221392_at	7.27e-07	8.44e-09	20.5013735	TAS2R4	taste 2 receptor member 4
221030_s_at	7.50e-07	8.74e-09	20.4588317	ARHGAP24	Rho GTPase activating protein 24
210722_at	7.53e-07	8.82e-09	20.4483285	PNLIPRP1	pancreatic lipase related protein 1
218453_s_at	7.53e-07	8.85e-09	20.4440391	TMEM242	transmembrane protein 242
217504_at	7.57e-07	8.98e-09	20.4271608	ABCA6	ATP binding cassette subfamily A member 6
220384_at	7.57e-07	8.99e-09	20.4256893	NME8	NME/NM23 family member 8
51774_s_at	7.57e-07	8.99e-09	20.4250521	UBE2D4	ubiquitin conjugating enzyme E2 D4 (putative)
216922_x_at	7.64e-07	9.13e-09	20.406403	DAZ4///DAZ2///DAZ3///DAZ1	deleted in azoospermia 4///deleted in azoospermia 2///deleted in azoospermia 3///deleted in azoospermia 1
210147_at	7.64e-07	9.15e-09	20.4044635	ART3	ADP-ribosyltransferase 3
222223_s_at	7.81e-07	9.39e-09	20.3727543	IL36RN	interleukin 36 receptor antagonist
222374_at	7.86e-07	9.48e-09	20.3605353	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase
206565_x_at	7.87e-07	9.53e-09	20.3541444	SMA4	glucuronidase beta pseudogene
219131_at	7.89e-07	9.59e-09	20.3468609	UBIAD1	UbiA prenyltransferase domain containing 1
220873_at	7.89e-07	9.64e-09	20.3412237		
202965_s_at	7.89e-07	9.68e-09	20.3359652	CAPN6	calpain 6
214998_at	7.89e-07	9.70e-09	20.3333619	AAK1	AP2 associated kinase 1
215286_s_at	7.89e-07	9.78e-09	20.3236584	PHTF2	putative homeodomain transcription factor 2
208349_at	7.89e-07	9.80e-09	20.3212137	TRPA1	transient receptor potential cation channel subfamily A member 1
214902_x_at	7.89e-07	9.80e-09	20.3203172	LPP	LIM domain containing preferred translocation partner in lipoma
216030_s_at	8.00e-07	9.98e-09	20.2992195	SEMG2	semenogelin II
206379_at	8.21e-07	1.03e-08	20.2602872	EYA3	EYA transcriptional coactivator and phosphatase 3
216149_at	8.21e-07	1.03e-08	20.2587388	LRRC37BP1	leucine rich repeat containing 37B pseudogene 1
215229_at	8.21e-07	1.03e-08	20.2553492	LOC100129973	uncharacterized LOC100129973
216947_at	8.28e-07	1.05e-08	20.2406572	DES	desmin
217470_at	8.38e-07	1.06e-08	20.2220813		
218658_s_at	8.38e-07	1.07e-08	20.2174714	ACTR8	ARP8 actin-related protein 8 homolog
221268_s_at	8.56e-07	1.10e-08	20.1850568	SGPP1	sphingosine-1-phosphate phosphatase 1
214390_s_at	8.56e-07	1.10e-08	20.1814746	BCAT1	branched chain amino acid transaminase 1
215929_at	8.56e-07	1.10e-08	20.1785467	LINC00837	long intergenic non-protein coding RNA 837
221248_s_at	8.60e-07	1.11e-08	20.1688207	WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1
219855_at	8.72e-07	1.13e-08	20.1473941	NUDT11	nudix hydrolase 11
217713_x_at	8.72e-07	1.13e-08	20.1442691		
215033_at	8.74e-07	1.14e-08	20.1363108	TM4SF1	transmembrane 4 L six family member 1
209990_s_at	8.75e-07	1.15e-08	20.1297076	GABBR2	gamma-aminobutyric acid type B receptor subunit 2
205587_at	8.75e-07	1.15e-08	20.1266907	FGFR1OP	FGFR1 oncogene partner
214825_at	9.05e-07	1.19e-08	20.0819171	FAM155A	family with sequence similarity 155 member A
219458_s_at	9.07e-07	1.21e-08	20.0687393	NSUN3	NOP2/Sun RNA methyltransferase family member 3
216538_at	9.07e-07	1.21e-08	20.0676045		
220153_at	9.07e-07	1.21e-08	20.0674322	ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7
220651_s_at	9.07e-07	1.22e-08	20.0575264	MCM10	minichromosome maintenance 10 replication initiation factor
219705_at	9.07e-07	1.22e-08	20.0561522	QSER1	glutamine and serine rich 1
206586_at	9.07e-07	1.22e-08	20.0550374	CNR2	cannabinoid receptor 2
208178_x_at	9.09e-07	1.23e-08	20.0446724	TRIO	trio Rho guanine nucleotide exchange factor
205974_at	9.09e-07	1.23e-08	20.0441052	HOXD1	homeobox D1
207889_at	9.13e-07	1.24e-08	20.0348295	SARDH	sarcosine dehydrogenase
214043_at	9.15e-07	1.25e-08	20.0251664	PTPRD	protein tyrosine phosphatase, receptor type D
213321_at	9.15e-07	1.25e-08	20.0239102	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta
205264_at	9.41e-07	1.29e-08	19.986848	CD3EAP	CD3e molecule associated protein
210671_x_at	9.45e-07	1.31e-08	19.9720827	MAPK8	mitogen-activated protein kinase 8
214026_s_at	9.45e-07	1.31e-08	19.9711323	SPRED2	sprouty related EVH1 domain containing 2
